,Dollar Sales,Geography,Product,SKU,Time,Unit Sales
0,28921840.49,Circle K Florida-RMA - Conv,CIGARETTES,Cigarettes Total,1/31/2016,4968512.07
1,30276220.8,Circle K Florida-RMA - Conv,CIGARETTES,Cigarettes Total,2/28/2016,5139634.753
2,31535167.82,Circle K Florida-RMA - Conv,CIGARETTES,Cigarettes Total,3/27/2016,5366848
3,31693487.95,Circle K Florida-RMA - Conv,CIGARETTES,Cigarettes Total,4/24/2016,5420033.091
4,31390945.73,Circle K Florida-RMA - Conv,CIGARETTES,Cigarettes Total,5/22/2016,5380230.139
5,31286284.72,Circle K Florida-RMA - Conv,CIGARETTES,Cigarettes Total,6/19/2016,5351033.111
6,31058485.91,Circle K Florida-RMA - Conv,CIGARETTES,Cigarettes Total,7/17/2016,5306152.2
7,30747716.96,Circle K Florida-RMA - Conv,CIGARETTES,Cigarettes Total,8/14/2016,5259324.21
8,30396088.49,Circle K Florida-RMA - Conv,CIGARETTES,Cigarettes Total,9/11/2016,5198175.061
9,30123052.65,Circle K Florida-RMA - Conv,CIGARETTES,Cigarettes Total,10/9/2016,5131669.082
10,31130559.68,Circle K Florida-RMA - Conv,CIGARETTES,Cigarettes Total,11/6/2016,5341678
11,31098708.85,Circle K Florida-RMA - Conv,CIGARETTES,Cigarettes Total,12/4/2016,5312354.03
12,31461500.06,Circle K Florida-RMA - Conv,CIGARETTES,Cigarettes Total,1/1/2017,5337813.19
13,30432879.16,Circle K Florida-RMA - Conv,CIGARETTES,Cigarettes Total,1/29/2017,5164424.35
14,31402310.18,Circle K Florida-RMA - Conv,CIGARETTES,Cigarettes Total,2/26/2017,5322135.07
15,32170165.49,Circle K Florida-RMA - Conv,CIGARETTES,Cigarettes Total,3/26/2017,5424725.07
16,32622314.64,Circle K Florida-RMA - Conv,CIGARETTES,Cigarettes Total,4/23/2017,5497264.99
17,32204223.3,Circle K Florida-RMA - Conv,CIGARETTES,Cigarettes Total,5/21/2017,5425080.86
18,31439809.85,Circle K Florida-RMA - Conv,CIGARETTES,Cigarettes Total,6/18/2017,5295483.24
19,31710590.71,Circle K Florida-RMA - Conv,CIGARETTES,Cigarettes Total,7/16/2017,5323886.212
20,31545185.41,Circle K Florida-RMA - Conv,CIGARETTES,Cigarettes Total,8/13/2017,5277076.45
21,31327131.81,Circle K Florida-RMA - Conv,CIGARETTES,Cigarettes Total,9/10/2017,5036893.892
22,29300490.94,Circle K Florida-RMA - Conv,CIGARETTES,Cigarettes Total,10/8/2017,4802083.69
23,32172551.11,Circle K Florida-RMA - Conv,CIGARETTES,Cigarettes Total,11/5/2017,5211170.13
24,31798717.85,Circle K Florida-RMA - Conv,CIGARETTES,Cigarettes Total,12/3/2017,5139659.871
25,31232120.34,Circle K Florida-RMA - Conv,CIGARETTES,Cigarettes Total,12/31/2017,5046590.044
26,29186725,Circle K Florida-RMA - Conv,CIGARETTES,Cigarettes Total,1/28/2018,4750724
27,409493.472,Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,E-Cigs Total,1/31/2016,45084.77852
28,436735.4066,Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,E-Cigs Total,2/28/2016,46103.19515
29,432972.08,Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,E-Cigs Total,3/27/2016,45642
30,468938.2989,Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,E-Cigs Total,4/24/2016,53057.14312
31,458461.4068,Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,E-Cigs Total,5/22/2016,54598.98024
32,414807.8343,Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,E-Cigs Total,6/19/2016,52259.17038
33,406761.72,Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,E-Cigs Total,7/17/2016,53127
34,424887.3878,Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,E-Cigs Total,8/14/2016,55934.22
35,428386.8327,Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,E-Cigs Total,9/11/2016,56831.64027
36,434493.6639,Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,E-Cigs Total,10/9/2016,57258.06888
37,460498.43,Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,E-Cigs Total,11/6/2016,58523
38,467947.66,Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,E-Cigs Total,12/4/2016,58489.18
39,443634.08,Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,E-Cigs Total,1/1/2017,55260.19
40,438053.97,Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,E-Cigs Total,1/29/2017,53784.06
